id html probability child_path
3 iii 0.015 1,4,1,3
27 ii<sup>7</sup> 0.011 1,4,1,27
b7 &#9837;VII 0.011 1,4,1,b7
5/5 V/V 0.01 1,4,1,5/5
56 V<sup>6</sup> 0.01 1,4,1,56
5/6 V/vi 0.007 1,4,1,5/6
7/2 vii&deg;/ii 0.006 1,4,1,7/2
57/5 V<sup>7</sup>/V 0.006 1,4,1,57/5
67 vi<sup>7</sup> 0.005 1,4,1,67
b6 &#9837;VI 0.004 1,4,1,b6
b3 &#9837;III 0.004 1,4,1,b3
364 iii<sup>6</sup><sub>4</sub> 0.004 1,4,1,364
164 I<sup>6</sup><sub>4</sub> 0.003 1,4,1,164
b4 iv 0.003 1,4,1,b4
142 I<sup>4</sup><sub>2</sub> 0.003 1,4,1,142
57/6 V<sup>7</sup>/vi 0.003 1,4,1,57/6
564 V<sup>6</sup><sub>4</sub> 0.003 1,4,1,564
57/4 V<sup>7</sup>/IV 0.002 1,4,1,57/4
16 I<sup>6</sup> 0.002 1,4,1,16
7 vii&deg; 0.002 1,4,1,7
57/2 V<sup>7</sup>/ii 0.001 1,4,1,57/2
664 vi<sup>6</sup><sub>4</sub> 0.001 1,4,1,664
37 iii<sup>7</sup> 0.001 1,4,1,37
b464 iv<sup>6</sup><sub>4</sub> 0.001 1,4,1,b464
L27 II<sup>7</sup> 0.001 1,4,1,L27
46 IV<sup>6</sup> 0.001 1,4,1,46
L46 &#9839;iv&deg;<sup>6</sup> 0.001 1,4,1,L46
26 ii<sup>6</sup> 0.001 1,4,1,26
464 IV<sup>6</sup><sub>4</sub> 0.001 1,4,1,464
543 V<sup>4</sup><sub>3</sub> 0.001 1,4,1,543
C2 &#9837;II 0.001 1,4,1,C2
7/6 vii&deg;/vi 0 1,4,1,7/6
1 I 0.413 1,4,5,1
6 vi 0.296 1,4,5,6
4 IV 0.139 1,4,5,4
3 iii 0.029 1,4,5,3
2 ii 0.024 1,4,5,2
67 vi<sup>7</sup> 0.014 1,4,5,67
56 V<sup>6</sup> 0.01 1,4,5,56
57 V<sup>7</sup> 0.01 1,4,5,57
16 I<sup>6</sup> 0.008 1,4,5,16
5/6 V/vi 0.007 1,4,5,5/6
37 iii<sup>7</sup> 0.006 1,4,5,37
5/2 V/ii 0.006 1,4,5,5/2
b7 &#9837;VII 0.004 1,4,5,b7
56/6 V<sup>6</sup>/vi 0.004 1,4,5,56/6
564 V<sup>6</sup><sub>4</sub> 0.004 1,4,5,564
565/6 V<sup>6</sup><sub>5</sub>/vi 0.003 1,4,5,565/6
7/6 vii&deg;/vi 0.003 1,4,5,7/6
364 iii<sup>6</sup><sub>4</sub> 0.003 1,4,5,364
464 IV<sup>6</sup><sub>4</sub> 0.003 1,4,5,464
665 vi<sup>6</sup><sub>5</sub> 0.003 1,4,5,665
b6 &#9837;VI 0.002 1,4,5,b6
M4 IV 0.001 1,4,5,M4
D47 IVb7 0.001 1,4,5,D47
76/3 vii&deg;<sup>6</sup>/iii 0.001 1,4,5,76/3
b1 i 0.001 1,4,5,b1
27 ii<sup>7</sup> 0.001 1,4,5,27
77 vii<sup>??</sup><sup>7</sup> 0.001 1,4,5,77
b142 i<sup>4</sup><sub>2</sub> 0.001 1,4,5,b142
542 V<sup>4</sup><sub>2</sub> 0 1,4,5,542
5 V 0.56 1,4,6,5
1 I 0.146 1,4,6,1
4 IV 0.122 1,4,6,4
2 ii 0.04 1,4,6,2
56 V<sup>6</sup> 0.02 1,4,6,56
3 iii 0.016 1,4,6,3
5/5 V/V 0.015 1,4,6,5/5
b6 &#9837;VI 0.013 1,4,6,b6
46 IV<sup>6</sup> 0.006 1,4,6,46
b7 &#9837;VII 0.006 1,4,6,b7
57/5 V<sup>7</sup>/V 0.006 1,4,6,57/5
D47 IVb7 0.004 1,4,6,D47
464 IV<sup>6</sup><sub>4</sub> 0.004 1,4,6,464
264 ii<sup>6</sup><sub>4</sub> 0.003 1,4,6,264
242 ii<sup>4</sup><sub>2</sub> 0.003 1,4,6,242
47 IV<sup>7</sup> 0.003 1,4,6,47
26 ii<sup>6</sup> 0.003 1,4,6,26
564 V<sup>6</sup><sub>4</sub> 0.002 1,4,6,564
77 vii<sup>??</sup><sup>7</sup> 0.002 1,4,6,77
5 V 0.319 1,4,2,5
6 vi 0.232 1,4,2,6
1 I 0.099 1,4,2,1
3 iii 0.074 1,4,2,3
4 IV 0.066 1,4,2,4
5/6 V/vi 0.061 1,4,2,5/6
57 V<sup>7</sup> 0.041 1,4,2,57
b7 &#9837;VII 0.023 1,4,2,b7
56 V<sup>6</sup> 0.018 1,4,2,56
164 I<sup>6</sup><sub>4</sub> 0.015 1,4,2,164
D6 vi&deg; 0.008 1,4,2,D6
564 V<sup>6</sup><sub>4</sub> 0.008 1,4,2,564
66 vi<sup>6</sup> 0.008 1,4,2,66
242 ii<sup>4</sup><sub>2</sub> 0.008 1,4,2,242
5/5 V/V 0.005 1,4,2,5/5
37 iii<sup>7</sup> 0.005 1,4,2,37
26 ii<sup>6</sup> 0.005 1,4,2,26
D3 &#9837;III 0.003 1,4,2,D3
27 ii<sup>7</sup> 0.003 1,4,2,27
2 ii 0.276 1,4,16,2
1 I 0.214 1,4,16,1
27 ii<sup>7</sup> 0.161 1,4,16,27
4 IV 0.087 1,4,16,4
5 V 0.077 1,4,16,5
564 V<sup>6</sup><sub>4</sub> 0.046 1,4,16,564
57/5 V<sup>7</sup>/V 0.028 1,4,16,57/5
6 vi 0.028 1,4,16,6
5/5 V/V 0.015 1,4,16,5/5
56 V<sup>6</sup> 0.009 1,4,16,56
57 V<sup>7</sup> 0.009 1,4,16,57
b16 i<sup>6</sup> 0.009 1,4,16,b16
L265 II<sup>6</sup><sub>5</sub> 0.009 1,4,16,L265
464 IV<sup>6</sup><sub>4</sub> 0.009 1,4,16,464
543 V<sup>4</sup><sub>3</sub> 0.003 1,4,16,543
6 vi 0.389 1,4,3,6
4 IV 0.156 1,4,3,4
2 ii 0.147 1,4,3,2
5 V 0.081 1,4,3,5
27 ii<sup>7</sup> 0.066 1,4,3,27
1 I 0.052 1,4,3,1
5/5 V/V 0.019 1,4,3,5/5
D3 &#9837;III 0.014 1,4,3,D3
5/6 V/vi 0.014 1,4,3,5/6
67 vi<sup>7</sup> 0.014 1,4,3,67
26 ii<sup>6</sup> 0.014 1,4,3,26
57 V<sup>7</sup> 0.005 1,4,3,57
6 vi 0.678 1,4,5/6,6
4 IV 0.068 1,4,5/6,4
2 ii 0.051 1,4,5/6,2
5 V 0.051 1,4,5/6,5
5/5 V/V 0.025 1,4,5/6,5/5
57 V<sup>7</sup> 0.025 1,4,5/6,57
66 vi<sup>6</sup> 0.025 1,4,5/6,66
1 I 0.025 1,4,5/6,1
27 ii<sup>7</sup> 0.025 1,4,5/6,27
67 vi<sup>7</sup> 0.025 1,4,5/6,67
1 I 0.707 1,4,57,1
6 vi 0.163 1,4,57,6
4 IV 0.065 1,4,57,4
17 I<sup>7</sup> 0.033 1,4,57,17
464 IV<sup>6</sup><sub>4</sub> 0.033 1,4,57,464
4 IV 0.333 1,4,b7,4
b3 &#9837;III 0.188 1,4,b7,b3
6 vi 0.094 1,4,b7,6
1 I 0.063 1,4,b7,1
M17 Ib7 0.063 1,4,b7,M17
b6 &#9837;VI 0.063 1,4,b7,b6
5/5 V/V 0.052 1,4,b7,5/5
5/6 V/vi 0.052 1,4,b7,5/6
5 V 0.052 1,4,b7,5
264 ii<sup>6</sup><sub>4</sub> 0.031 1,4,b7,264
5/2 V/ii 0.01 1,4,b7,5/2
5 V 0.376 1,4,27,5
6 vi 0.194 1,4,27,6
1 I 0.097 1,4,27,1
57 V<sup>7</sup> 0.086 1,4,27,57
67 vi<sup>7</sup> 0.065 1,4,27,67
5/6 V/vi 0.032 1,4,27,5/6
57/6 V<sup>7</sup>/vi 0.032 1,4,27,57/6
265 ii<sup>6</sup><sub>5</sub> 0.032 1,4,27,265
1 I 0.28 1,4,164,1
4 IV 0.227 1,4,164,4
5 V 0.173 1,4,164,5
6 vi 0.12 1,4,164,6
57 V<sup>7</sup> 0.08 1,4,164,57
27 ii<sup>7</sup> 0.08 1,4,164,27
56 V<sup>6</sup> 0.04 1,4,164,56
5 V 0.75 1,4,5/5,5
57 V<sup>7</sup> 0.125 1,4,5/5,57
1 I 0.071 1,4,5/5,1
4 IV 0.036 1,4,5/5,4
Y2 &#9837;II 0.018 1,4,5/5,Y2
5 V 0.717 1,4,7/5,5
4 IV 0.17 1,4,7/5,4
164 I<sup>6</sup><sub>4</sub> 0.057 1,4,7/5,164
1 I 0.057 1,4,7/5,1
4 IV 0.346 1,4,37,4
27 ii<sup>7</sup> 0.288 1,4,37,27
6 vi 0.231 1,4,37,6
67 vi<sup>7</sup> 0.058 1,4,37,67
M67 vi<sup>7</sup> 0.058 1,4,37,M67
1 I 0.019 1,4,37,1
6 vi 0.184 1,4,47,6
5 V 0.184 1,4,47,5
4 IV 0.184 1,4,47,4
265 ii<sup>6</sup><sub>5</sub> 0.082 1,4,47,265
642 vi<sup>4</sup><sub>2</sub> 0.061 1,4,47,642
27 ii<sup>7</sup> 0.061 1,4,47,27
57 V<sup>7</sup> 0.061 1,4,47,57
L4 &#9839;iv&deg; 0.061 1,4,47,L4
37 iii<sup>7</sup> 0.061 1,4,47,37
56/6 V<sup>6</sup>/vi 0.061 1,4,47,56/6
5 V 0.5 1,4,67,5
1 I 0.31 1,4,67,1
16 I<sup>6</sup> 0.071 1,4,67,16
56 V<sup>6</sup> 0.071 1,4,67,56
5 V 0.435 1,6,4,5
1 I 0.376 1,6,4,1
2 ii 0.032 1,6,4,2
6 vi 0.019 1,6,4,6
b4 iv 0.015 1,6,4,b4
57 V<sup>7</sup> 0.015 1,6,4,57
542 V<sup>4</sup><sub>2</sub> 0.013 1,6,4,542
27 ii<sup>7</sup> 0.011 1,6,4,27
5/6 V/vi 0.01 1,6,4,5/6
164 I<sup>6</sup><sub>4</sub> 0.009 1,6,4,164
3 iii 0.009 1,6,4,3
b6 &#9837;VI 0.009 1,6,4,b6
16 I<sup>6</sup> 0.006 1,6,4,16
46 IV<sup>6</sup> 0.006 1,6,4,46
56 V<sup>6</sup> 0.006 1,6,4,56
7/5 vii&deg;/V 0.004 1,6,4,7/5
37 iii<sup>7</sup> 0.002 1,6,4,37
b7 &#9837;VII 0.002 1,6,4,b7
664 vi<sup>6</sup><sub>4</sub> 0.002 1,6,4,664
67 vi<sup>7</sup> 0.002 1,6,4,67
47 IV<sup>7</sup> 0.002 1,6,4,47
642 vi<sup>4</sup><sub>2</sub> 0.001 1,6,4,642
565/5 V<sup>6</sup><sub>5</sub>/V 0.001 1,6,4,565/5
5/7 V/vii 0.001 1,6,4,5/7
b5 v 0.001 1,6,4,b5
5/5 V/V 0.001 1,6,4,5/5
4 IV 0.562 1,6,5,4
1 I 0.167 1,6,5,1
2 ii 0.087 1,6,5,2
6 vi 0.055 1,6,5,6
3 iii 0.023 1,6,5,3
7 vii&deg; 0.012 1,6,5,7
47 IV<sup>7</sup> 0.01 1,6,5,47
5/5 V/V 0.01 1,6,5,5/5
464 IV<sup>6</sup><sub>4</sub> 0.007 1,6,5,464
56 V<sup>6</sup> 0.007 1,6,5,56
5/2 V/ii 0.006 1,6,5,5/2
57 V<sup>7</sup> 0.006 1,6,5,57
7/6 vii&deg;/vi 0.004 1,6,5,7/6
M77 &#9837;VII<sup>7</sup> 0.003 1,6,5,M77
542 V<sup>4</sup><sub>2</sub> 0.003 1,6,5,542
56/6 V<sup>6</sup>/vi 0.003 1,6,5,56/6
164 I<sup>6</sup><sub>4</sub> 0.003 1,6,5,164
37 iii<sup>7</sup> 0.003 1,6,5,37
27 ii<sup>7</sup> 0.003 1,6,5,27
26 ii<sup>6</sup> 0.003 1,6,5,26
16 I<sup>6</sup> 0.003 1,6,5,16
67 vi<sup>7</sup> 0.003 1,6,5,67
5/6 V/vi 0.002 1,6,5,5/6
b7 &#9837;VII 0.001 1,6,5,b7
6 vi 0.519 1,6,1,6
4 IV 0.205 1,6,1,4
5 V 0.092 1,6,1,5
3 iii 0.069 1,6,1,3
2 ii 0.04 1,6,1,2
57 V<sup>7</sup> 0.013 1,6,1,57
27 ii<sup>7</sup> 0.01 1,6,1,27
47 IV<sup>7</sup> 0.008 1,6,1,47
642 vi<sup>4</sup><sub>2</sub> 0.006 1,6,1,642
5/6 V/vi 0.006 1,6,1,5/6
b7 &#9837;VII 0.006 1,6,1,b7
464 IV<sup>6</sup><sub>4</sub> 0.006 1,6,1,464
5/2 V/ii 0.006 1,6,1,5/2
5/5 V/V 0.006 1,6,1,5/5
5 V 0.487 1,6,2,5
4 IV 0.148 1,6,2,4
57 V<sup>7</sup> 0.087 1,6,2,57
1 I 0.087 1,6,2,1
3 iii 0.028 1,6,2,3
5/6 V/vi 0.021 1,6,2,5/6
b7 &#9837;VII 0.016 1,6,2,b7
Y2 &#9837;II 0.014 1,6,2,Y2
16 I<sup>6</sup> 0.014 1,6,2,16
6 vi 0.014 1,6,2,6
27 ii<sup>7</sup> 0.014 1,6,2,27
b4 iv 0.012 1,6,2,b4
17 I<sup>7</sup> 0.012 1,6,2,17
36 iii<sup>6</sup> 0.007 1,6,2,36
57/6 V<sup>7</sup>/vi 0.007 1,6,2,57/6
5/2 V/ii 0.007 1,6,2,5/2
57/3 V<sup>7</sup>/iii 0.005 1,6,2,57/3
7/6 vii&deg;/vi 0.005 1,6,2,7/6
264 ii<sup>6</sup><sub>4</sub> 0.002 1,6,2,264
4 IV 0.497 1,6,3,4
5 V 0.247 1,6,3,5
1 I 0.105 1,6,3,1
6 vi 0.043 1,6,3,6
2 ii 0.035 1,6,3,2
342 iii<sup>4</sup><sub>2</sub> 0.016 1,6,3,342
365 iii<sup>6</sup><sub>5</sub> 0.016 1,6,3,365
364 iii<sup>6</sup><sub>4</sub> 0.005 1,6,3,364
4 IV 0.747 1,6,5/6,4
3 iii 0.072 1,6,5/6,3
6 vi 0.06 1,6,5/6,6
C4 iv 0.06 1,6,5/6,C4
5 V 0.048 1,6,5/6,5
b4 iv 0.012 1,6,5/6,b4
5 V 0.609 1,6,27,5
57 V<sup>7</sup> 0.253 1,6,27,57
4 IV 0.069 1,6,27,4
464 IV<sup>6</sup><sub>4</sub> 0.034 1,6,27,464
47 IV<sup>7</sup> 0.023 1,6,27,47
1 I 0.011 1,6,27,1
2 ii 0.205 1,6,b7,2
4 IV 0.178 1,6,b7,4
47 IV<sup>7</sup> 0.151 1,6,b7,47
1 I 0.137 1,6,b7,1
b3 &#9837;III 0.082 1,6,b7,b3
46 IV<sup>6</sup> 0.082 1,6,b7,46
M1 I 0.041 1,6,b7,M1
6 vi 0.041 1,6,b7,6
7 vii&deg; 0.027 1,6,b7,7
5 V 0.027 1,6,b7,5
M4 IV 0.027 1,6,b7,M4
1 I 0.717 1,6,56,1
5 V 0.17 1,6,56,5
4 IV 0.113 1,6,56,4
4 IV 0.523 1,6,164,4
27 ii<sup>7</sup> 0.205 1,6,164,27
1 I 0.136 1,6,164,1
57 V<sup>7</sup> 0.068 1,6,164,57
77/5 vii<sup>??</sup><sup>7</sup>/V 0.068 1,6,164,77/5
b4 iv 0.308 1,6,5/5,b4
5 V 0.179 1,6,5/5,5
4 IV 0.154 1,6,5/5,4
1 I 0.103 1,6,5/5,1
57 V<sup>7</sup> 0.077 1,6,5/5,57
6 vi 0.077 1,6,5/5,6
b7 &#9837;VII 0.026 1,6,5/5,b7
5 V 0.4 1,6,664,5
4 IV 0.3 1,6,664,4
6 vi 0.2 1,6,664,6
27 ii<sup>7</sup> 0.1 1,6,664,27
5 V 0.846 1,6,26,5
57 V<sup>7</sup> 0.115 1,6,26,57
1 I 0.038 1,6,26,1
1 I 0.5 1,6,47,1
164 I<sup>6</sup><sub>4</sub> 0.136 1,6,47,164
2 ii 0.136 1,6,47,2
3 iii 0.136 1,6,47,3
5 V 0.391 1,6,16,5
4 IV 0.261 1,6,16,4
56/5 V<sup>6</sup>/V 0.13 1,6,16,56/5
265 ii<sup>6</sup><sub>5</sub> 0.13 1,6,16,265
2 ii 0.087 1,6,16,2
4 IV 0.378 1,2,6,4
5 V 0.205 1,2,6,5
1 I 0.132 1,2,6,1
2 ii 0.036 1,2,6,2
3 iii 0.031 1,2,6,3
5/6 V/vi 0.03 1,2,6,5/6
47 IV<sup>7</sup> 0.028 1,2,6,47
56 V<sup>6</sup> 0.028 1,2,6,56
642 vi<sup>4</sup><sub>2</sub> 0.022 1,2,6,642
66 vi<sup>6</sup> 0.018 1,2,6,66
b7 &#9837;VII 0.018 1,2,6,b7
7 vii&deg; 0.013 1,2,6,7
5/3 V/iii 0.009 1,2,6,5/3
265 ii<sup>6</sup><sub>5</sub> 0.009 1,2,6,265
7/6 vii&deg;/vi 0.009 1,2,6,7/6
564 V<sup>6</sup><sub>4</sub> 0.009 1,2,6,564
4/2 IV/ii 0.004 1,2,6,4/2
57/6 V<sup>7</sup>/vi 0.004 1,2,6,57/6
57 V<sup>7</sup> 0.004 1,2,6,57
L5 V 0.004 1,2,6,L5
664 vi<sup>6</sup><sub>4</sub> 0.004 1,2,6,664
5 V 0.315 1,2,4,5
1 I 0.25 1,2,4,1
6 vi 0.2 1,2,4,6
5/6 V/vi 0.072 1,2,4,5/6
57 V<sup>7</sup> 0.041 1,2,4,57
3 iii 0.026 1,2,4,3
2 ii 0.026 1,2,4,2
16 I<sup>6</sup> 0.019 1,2,4,16
b7 &#9837;VII 0.014 1,2,4,b7
265 ii<sup>6</sup><sub>5</sub> 0.007 1,2,4,265
b3 &#9837;III 0.007 1,2,4,b3
26 ii<sup>6</sup> 0.007 1,2,4,26
365 iii<sup>6</sup><sub>5</sub> 0.007 1,2,4,365
L5 V 0.005 1,2,4,L5
164 I<sup>6</sup><sub>4</sub> 0.002 1,2,4,164
4 IV 0.635 1,2,3,4
1 I 0.109 1,2,3,1
6 vi 0.097 1,2,3,6
2 ii 0.05 1,2,3,2
b7 &#9837;VII 0.026 1,2,3,b7
5 V 0.026 1,2,3,5
57 V<sup>7</sup> 0.012 1,2,3,57
364 iii<sup>6</sup><sub>4</sub> 0.007 1,2,3,364
D47 IVb7 0.007 1,2,3,D47
7/5 vii&deg;/V 0.005 1,2,3,7/5
47 IV<sup>7</sup> 0.005 1,2,3,47
27 ii<sup>7</sup> 0.005 1,2,3,27
26 ii<sup>6</sup> 0.002 1,2,3,26
2 ii 0.522 1,2,1,2
5 V 0.119 1,2,1,5
4 IV 0.084 1,2,1,4
3 iii 0.06 1,2,1,3
6 vi 0.054 1,2,1,6
56 V<sup>6</sup> 0.051 1,2,1,56
L7 vii 0.015 1,2,1,L7
7 vii&deg; 0.015 1,2,1,7
37 iii<sup>7</sup> 0.009 1,2,1,37
364 iii<sup>6</sup><sub>4</sub> 0.009 1,2,1,364
27 ii<sup>7</sup> 0.009 1,2,1,27
b4 iv 0.009 1,2,1,b4
b7 &#9837;VII 0.009 1,2,1,b7
7/6 vii&deg;/vi 0.003 1,2,1,7/6
164 I<sup>6</sup><sub>4</sub> 0.003 1,2,1,164
1 I 0.299 1,2,5,1
4 IV 0.234 1,2,5,4
6 vi 0.205 1,2,5,6
57 V<sup>7</sup> 0.053 1,2,5,57
2 ii 0.049 1,2,5,2
37 iii<sup>7</sup> 0.045 1,2,5,37
57/2 V<sup>7</sup>/ii 0.025 1,2,5,57/2
542 V<sup>4</sup><sub>2</sub> 0.025 1,2,5,542
b3 &#9837;III 0.012 1,2,5,b3
67 vi<sup>7</sup> 0.012 1,2,5,67
3 iii 0.012 1,2,5,3
57/6 V<sup>7</sup>/vi 0.012 1,2,5,57/6
7/6 vii&deg;/vi 0.012 1,2,5,7/6
56 V<sup>6</sup> 0.004 1,2,5,56
4 IV 0.79 1,2,16,4
3 iii 0.042 1,2,16,3
1 I 0.042 1,2,16,1
6 vi 0.042 1,2,16,6
265 ii<sup>6</sup><sub>5</sub> 0.035 1,2,16,265
464 IV<sup>6</sup><sub>4</sub> 0.021 1,2,16,464
47 IV<sup>7</sup> 0.021 1,2,16,47
5 V 0.007 1,2,16,5
6 vi 0.596 1,2,5/6,6
4 IV 0.128 1,2,5/6,4
5 V 0.085 1,2,5/6,5
67 vi<sup>7</sup> 0.064 1,2,5/6,67
5/2 V/ii 0.064 1,2,5/6,5/2
57/6 V<sup>7</sup>/vi 0.064 1,2,5/6,57/6
1 I 0.318 1,2,b7,1
4 IV 0.295 1,2,b7,4
6 vi 0.273 1,2,b7,6
5/3 V/iii 0.068 1,2,b7,5/3
2 ii 0.045 1,2,b7,2
2 ii 0.577 1,2,27,2
76 vii&deg;<sup>6</sup> 0.231 1,2,27,76
57 V<sup>7</sup> 0.115 1,2,27,57
5 V 0.077 1,2,27,5
7 vii&deg; 0.333 1,2,66,7
6 vi 0.292 1,2,66,6
5/6 V/vi 0.125 1,2,66,5/6
364 iii<sup>6</sup><sub>4</sub> 0.125 1,2,66,364
5/3 V/iii 0.125 1,2,66,5/3
1 I 0.375 1,2,264,1
164 I<sup>6</sup><sub>4</sub> 0.25 1,2,264,164
4 IV 0.25 1,2,264,4
2 ii 0.125 1,2,264,2
6 vi 0.55 1,2,164,6
1 I 0.3 1,2,164,1
5 V 0.15 1,2,164,5
1 I 0.824 1,2,57,1
665 vi<sup>6</sup><sub>5</sub> 0.118 1,2,57,665
57 V<sup>7</sup> 0.833 1,2,26,57
264 ii<sup>6</sup><sub>4</sub> 0.167 1,2,26,264
27 ii<sup>7</sup> 0.438 1,2,564,27
4 IV 0.375 1,2,564,4
6 vi 0.188 1,2,564,6
1 I 1 1,2,b4,1
4 IV 0.8 1,2,77,4
664 vi<sup>6</sup><sub>4</sub> 0.2 1,2,77,664
4 IV 0.615 1,2,67,4
343 iii<sup>4</sup><sub>3</sub> 0.231 1,2,67,343
5 V 0.077 1,2,67,5
4 IV 0.292 1,56,6,4
5 V 0.246 1,56,6,5
56 V<sup>6</sup> 0.07 1,56,6,56
164 I<sup>6</sup><sub>4</sub> 0.059 1,56,6,164
2 ii 0.055 1,56,6,2
3 iii 0.051 1,56,6,3
1 I 0.047 1,56,6,1
36 iii<sup>6</sup> 0.034 1,56,6,36
46 IV<sup>6</sup> 0.013 1,56,6,46
M143 I<sup>4</sup><sub>3</sub> 0.011 1,56,6,M143
26 ii<sup>6</sup> 0.011 1,56,6,26
664 vi<sup>6</sup><sub>4</sub> 0.008 1,56,6,664
37 iii<sup>7</sup> 0.008 1,56,6,37
b7 &#9837;VII 0.005 1,56,6,b7
56/5 V<sup>6</sup>/V 0.005 1,56,6,56/5
16 I<sup>6</sup> 0.005 1,56,6,16
264 ii<sup>6</sup><sub>4</sub> 0.005 1,56,6,264
27 ii<sup>7</sup> 0.005 1,56,6,27
642 vi<sup>4</sup><sub>2</sub> 0.005 1,56,6,642
b27 ii<sup>??</sup><sup>7</sup> 0.005 1,56,6,b27
56/6 V<sup>6</sup>/vi 0.005 1,56,6,56/6
464 IV<sup>6</sup><sub>4</sub> 0.004 1,56,6,464
57/5 V<sup>7</sup>/V 0.003 1,56,6,57/5
57/6 V<sup>7</sup>/vi 0.003 1,56,6,57/6
67 vi<sup>7</sup> 0.003 1,56,6,67
242 ii<sup>4</sup><sub>2</sub> 0.003 1,56,6,242
b46 iv<sup>6</sup> 0.003 1,56,6,b46
66 vi<sup>6</sup> 0.003 1,56,6,66
543/5 V<sup>4</sup><sub>3</sub>/V 0.003 1,56,6,543/5
364 iii<sup>6</sup><sub>4</sub> 0.003 1,56,6,364
7/5 vii&deg;/V 0.003 1,56,6,7/5
543/4 V<sup>4</sup><sub>3</sub>/IV 0.003 1,56,6,543/4
b4 iv 0.002 1,56,6,b4
4 IV 0.252 1,56,67,4
5 V 0.233 1,56,67,5
27 ii<sup>7</sup> 0.074 1,56,67,27
57 V<sup>7</sup> 0.055 1,56,67,57
642 vi<sup>4</sup><sub>2</sub> 0.037 1,56,67,642
2 ii 0.037 1,56,67,2
b57 v<sup>7</sup> 0.037 1,56,67,b57
1 I 0.018 1,56,67,1
3 iii 0.018 1,56,67,3
16 I<sup>6</sup> 0.018 1,56,67,16
b5 v 0.018 1,56,67,b5
57/5 V<sup>7</sup>/V 0.012 1,56,67,57/5
164 I<sup>6</sup><sub>4</sub> 0.006 1,56,67,164
164 I<sup>6</sup><sub>4</sub> 0.458 1,56,46,164
16 I<sup>6</sup> 0.102 1,56,46,16
5 V 0.102 1,56,46,5
4 IV 0.09 1,56,46,4
36 iii<sup>6</sup> 0.078 1,56,46,36
56 V<sup>6</sup> 0.078 1,56,46,56
5/6 V/vi 0.018 1,56,46,5/6
565 V<sup>6</sup><sub>5</sub> 0.018 1,56,46,565
b46 iv<sup>6</sup> 0.018 1,56,46,b46
66 vi<sup>6</sup> 0.018 1,56,46,66
57 V<sup>7</sup> 0.018 1,56,46,57
1 I 0.523 1,56,4,1
5 V 0.215 1,56,4,5
6 vi 0.174 1,56,4,6
3 iii 0.04 1,56,4,3
56 V<sup>6</sup> 0.007 1,56,4,56
56 V<sup>6</sup> 0.319 1,56,1,56
2 ii 0.176 1,56,1,2
4 IV 0.151 1,56,1,4
5 V 0.076 1,56,1,5
3 iii 0.05 1,56,1,3
564 V<sup>6</sup><sub>4</sub> 0.05 1,56,1,564
5/5 V/V 0.042 1,56,1,5/5
27 ii<sup>7</sup> 0.025 1,56,1,27
6 vi 0.025 1,56,1,6
b57 v<sup>7</sup> 0.025 1,56,1,b57
565/5 V<sup>6</sup><sub>5</sub>/V 0.025 1,56,1,565/5
57 V<sup>7</sup> 0.008 1,56,1,57
6 vi 0.327 1,56,5,6
665 vi<sup>6</sup><sub>5</sub> 0.102 1,56,5,665
1 I 0.092 1,56,5,1
46 IV<sup>6</sup> 0.092 1,56,5,46
4 IV 0.082 1,56,5,4
67 vi<sup>7</sup> 0.061 1,56,5,67
D3 &#9837;III 0.061 1,56,5,D3
5/5 V/V 0.041 1,56,5,5/5
56/6 V<sup>6</sup>/vi 0.031 1,56,5,56/6
56 V<sup>6</sup> 0.031 1,56,5,56
b7 &#9837;VII 0.031 1,56,5,b7
27 ii<sup>7</sup> 0.031 1,56,5,27
564 V<sup>6</sup><sub>4</sub> 0.02 1,56,5,564
4 IV 0.253 1,56,2,4
16 I<sup>6</sup> 0.241 1,56,2,16
1 I 0.241 1,56,2,1
27 ii<sup>7</sup> 0.115 1,56,2,27
5 V 0.046 1,56,2,5
46 IV<sup>6</sup> 0.55 1,56,b7,46
57/2 V<sup>7</sup>/ii 0.15 1,56,b7,57/2
4 IV 0.15 1,56,b7,4
6 vi 0.1 1,56,b7,6
465 IV<sup>6</sup><sub>5</sub> 0.05 1,56,b7,465
4 IV 0.609 1,56,27,4
1 I 0.391 1,56,27,1
6 vi 0.938 1,56,5/6,6
4 IV 0.063 1,56,5/6,4
364 iii<sup>6</sup><sub>4</sub> 0.733 1,56,564,364
67 vi<sup>7</sup> 0.2 1,56,564,67
5 V 0.067 1,56,564,5
5 V 0.8 1,56,564/5,5
56 V<sup>6</sup> 0.2 1,56,564/5,56
2 ii 0.4 1,56,66,2
464 IV<sup>6</sup><sub>4</sub> 0.4 1,56,66,464
543/3 V<sup>4</sup><sub>3</sub>/iii 0.2 1,56,66,543/3
4 IV 0.462 1,56,3,4
5 V 0.308 1,56,3,5
364 iii<sup>6</sup><sub>4</sub> 0.231 1,56,3,364
56/2 V<sup>6</sup>/ii 0.25 1,56,5/5,56/2
47/6 IV<sup>7</sup>/vi 0.25 1,56,5/5,47/6
76 vii&deg;<sup>6</sup> 0.25 1,56,5/5,76
1 I 0.25 1,56,5/5,1
5 V 0.317 1,3,4,5
1 I 0.285 1,3,4,1
6 vi 0.207 1,3,4,6
2 ii 0.055 1,3,4,2
3 iii 0.045 1,3,4,3
