id html probability child_path
b67 &#9837;VI<sup>7</sup> 0.005 17,b67
5/6 V/vi 0.005 17,5/6
b4 iv 0.005 17,b4
4 IV 0.182 5/5,4
5 V 0.158 5/5,5
6 vi 0.13 5/5,6
1 I 0.104 5/5,1
5/6 V/vi 0.047 5/5,5/6
3 iii 0.04 5/5,3
2 ii 0.031 5/5,2
b4 iv 0.02 5/5,b4
67 vi<sup>7</sup> 0.019 5/5,67
5/2 V/ii 0.017 5/5,5/2
57 V<sup>7</sup> 0.016 5/5,57
b3 &#9837;III 0.015 5/5,b3
27 ii<sup>7</sup> 0.015 5/5,27
47 IV<sup>7</sup> 0.013 5/5,47
b7 &#9837;VII 0.011 5/5,b7
564 V<sup>6</sup><sub>4</sub> 0.01 5/5,564
66 vi<sup>6</sup> 0.01 5/5,66
57/5 V<sup>7</sup>/V 0.009 5/5,57/5
56/5 V<sup>6</sup>/V 0.008 5/5,56/5
36 iii<sup>6</sup> 0.007 5/5,36
56 V<sup>6</sup> 0.007 5/5,56
L27 II<sup>7</sup> 0.007 5/5,L27
L242 II<sup>4</sup><sub>2</sub> 0.005 5/5,L242
56/3 V<sup>6</sup>/iii 0.005 5/5,56/3
L264 II<sup>6</sup><sub>4</sub> 0.005 5/5,L264
6 vi 0.271 664,6
4 IV 0.134 664,4
2 ii 0.073 664,2
5/6 V/vi 0.072 664,5/6
564 V<sup>6</sup><sub>4</sub> 0.041 664,564
642 vi<sup>4</sup><sub>2</sub> 0.033 664,642
5 V 0.032 664,5
1 I 0.031 664,1
66 vi<sup>6</sup> 0.03 664,66
57/6 V<sup>7</sup>/vi 0.029 664,57/6
16 I<sup>6</sup> 0.02 664,16
27 ii<sup>7</sup> 0.018 664,27
26 ii<sup>6</sup> 0.017 664,26
464 IV<sup>6</sup><sub>4</sub> 0.015 664,464
47 IV<sup>7</sup> 0.013 664,47
164 I<sup>6</sup><sub>4</sub> 0.009 664,164
36 iii<sup>6</sup> 0.008 664,36
56/6 V<sup>6</sup>/vi 0.007 664,56/6
5/5 V/V 0.006 664,5/5
3 iii 0.006 664,3
7/3 vii&deg;/iii 0.005 664,7/3
46 IV<sup>6</sup> 0.005 664,46
77 vii<sup>??</sup><sup>7</sup> 0.005 664,77
1 I 0.349 464,1
5 V 0.089 464,5
4 IV 0.076 464,4
564 V<sup>6</sup><sub>4</sub> 0.056 464,564
17 I<sup>7</sup> 0.046 464,17
6 vi 0.043 464,6
2 ii 0.033 464,2
56 V<sup>6</sup> 0.022 464,56
27 ii<sup>7</sup> 0.022 464,27
46 IV<sup>6</sup> 0.018 464,46
164 I<sup>6</sup><sub>4</sub> 0.016 464,164
565 V<sup>6</sup><sub>5</sub> 0.015 464,565
b464 iv<sup>6</sup><sub>4</sub> 0.014 464,b464
443 IV<sup>4</sup><sub>3</sub> 0.012 464,443
364 iii<sup>6</sup><sub>4</sub> 0.011 464,364
57 V<sup>7</sup> 0.009 464,57
264 ii<sup>6</sup><sub>4</sub> 0.008 464,264
564/6 V<sup>6</sup><sub>4</sub>/vi 0.008 464,564/6
47 IV<sup>7</sup> 0.007 464,47
57/4 V<sup>7</sup>/IV 0.007 464,57/4
M17 Ib7 0.007 464,M17
26 ii<sup>6</sup> 0.007 464,26
77 vii<sup>??</sup><sup>7</sup> 0.006 464,77
5/6 V/vi 0.006 464,5/6
7 vii&deg; 0.006 464,7
16 I<sup>6</sup> 0.006 464,16
67 vi<sup>7</sup> 0.006 464,67
b4 iv 0.005 464,b4
b7 &#9837;VII 0.005 464,b7
6 vi 0.451 57/6,6
67 vi<sup>7</sup> 0.147 57/6,67
4 IV 0.115 57/6,4
47 IV<sup>7</sup> 0.02 57/6,47
565/6 V<sup>6</sup><sub>5</sub>/vi 0.019 57/6,565/6
2 ii 0.018 57/6,2
57/2 V<sup>7</sup>/ii 0.017 57/6,57/2
D47 IVb7 0.016 57/6,D47
5/6 V/vi 0.015 57/6,5/6
664 vi<sup>6</sup><sub>4</sub> 0.012 57/6,664
27 ii<sup>7</sup> 0.012 57/6,27
D442 IV<sup>4</sup><sub>2</sub> 0.01 57/6,D442
542/6 V<sup>4</sup><sub>2</sub>/vi 0.008 57/6,542/6
1 I 0.007 57/6,1
37 iii<sup>7</sup> 0.007 57/6,37
D26 ii<sup>6</sup> 0.007 57/6,D26
56/6 V<sup>6</sup>/vi 0.005 57/6,56/6
543/6 V<sup>4</sup><sub>3</sub>/vi 0.005 57/6,543/6
3 iii 0.005 57/6,3
265 ii<sup>6</sup><sub>5</sub> 0.005 57/6,265
6 vi 0.126 46,6
56 V<sup>6</sup> 0.106 46,56
5 V 0.105 46,5
164 I<sup>6</sup><sub>4</sub> 0.096 46,164
1 I 0.096 46,1
4 IV 0.069 46,4
b46 iv<sup>6</sup> 0.05 46,b46
464 IV<sup>6</sup><sub>4</sub> 0.029 46,464
b6 &#9837;VI 0.029 46,b6
b7 &#9837;VII 0.029 46,b7
L46 &#9839;iv&deg;<sup>6</sup> 0.028 46,L46
36 iii<sup>6</sup> 0.02 46,36
57 V<sup>7</sup> 0.017 46,57
2 ii 0.016 46,2
16 I<sup>6</sup> 0.016 46,16
67 vi<sup>7</sup> 0.013 46,67
27 ii<sup>7</sup> 0.01 46,27
264 ii<sup>6</sup><sub>4</sub> 0.01 46,264
3 iii 0.007 46,3
L264 II<sup>6</sup><sub>4</sub> 0.007 46,L264
b5 v 0.006 46,b5
565 V<sup>6</sup><sub>5</sub> 0.006 46,565
b465 iv<sup>6</sup><sub>5</sub> 0.006 46,b465
664 vi<sup>6</sup><sub>4</sub> 0.005 46,664
47 IV<sup>7</sup> 0.005 46,47
564 V<sup>6</sup><sub>4</sub> 0.005 46,564
M57 v<sup>7</sup> 0.005 46,M57
5/5 V/V 0.005 46,5/5
6 vi 0.138 66,6
4 IV 0.098 66,4
2 ii 0.077 66,2
56 V<sup>6</sup> 0.056 66,56
1 I 0.045 66,1
664 vi<sup>6</sup><sub>4</sub> 0.043 66,664
364 iii<sup>6</sup><sub>4</sub> 0.042 66,364
5 V 0.032 66,5
564/6 V<sup>6</sup><sub>4</sub>/vi 0.032 66,564/6
5/6 V/vi 0.028 66,5/6
564 V<sup>6</sup><sub>4</sub> 0.023 66,564
27 ii<sup>7</sup> 0.021 66,27
3 iii 0.02 66,3
56/6 V<sup>6</sup>/vi 0.017 66,56/6
67 vi<sup>7</sup> 0.016 66,67
77 vii<sup>??</sup><sup>7</sup> 0.016 66,77
464 IV<sup>6</sup><sub>4</sub> 0.015 66,464
7 vii&deg; 0.014 66,7
Y2 &#9837;II 0.012 66,Y2
642 vi<sup>4</sup><sub>2</sub> 0.011 66,642
36 iii<sup>6</sup> 0.01 66,36
M76 &#9837;VII<sup>6</sup> 0.01 66,M76
16 I<sup>6</sup> 0.01 66,16
5/5 V/V 0.01 66,5/5
b7 &#9837;VII 0.009 66,b7
47 IV<sup>7</sup> 0.009 66,47
57/3 V<sup>7</sup>/iii 0.009 66,57/3
26 ii<sup>6</sup> 0.008 66,26
164 I<sup>6</sup><sub>4</sub> 0.008 66,164
56/2 V<sup>6</sup>/ii 0.008 66,56/2
76/6 vii&deg;<sup>6</sup>/vi 0.008 66,76/6
17 I<sup>7</sup> 0.007 66,17
142 I<sup>4</sup><sub>2</sub> 0.006 66,142
665 vi<sup>6</sup><sub>5</sub> 0.006 66,665
37 iii<sup>7</sup> 0.005 66,37
46 IV<sup>6</sup> 0.005 66,46
7/6 vii&deg;/vi 0.005 66,7/6
D47 IVb7 0.005 66,D47
1 I 0.166 564,1
5 V 0.108 564,5
6 vi 0.101 564,6
4 IV 0.08 564,4
2 ii 0.073 564,2
16 I<sup>6</sup> 0.052 564,16
664 vi<sup>6</sup><sub>4</sub> 0.051 564,664
3 iii 0.032 564,3
27 ii<sup>7</sup> 0.03 564,27
464 IV<sup>6</sup><sub>4</sub> 0.028 564,464
56 V<sup>6</sup> 0.027 564,56
364 iii<sup>6</sup><sub>4</sub> 0.02 564,364
66 vi<sup>6</sup> 0.018 564,66
564/6 V<sup>6</sup><sub>4</sub>/vi 0.015 564,564/6
542 V<sup>4</sup><sub>2</sub> 0.015 564,542
37 iii<sup>7</sup> 0.013 564,37
543 V<sup>4</sup><sub>3</sub> 0.01 564,543
47 IV<sup>7</sup> 0.01 564,47
46 IV<sup>6</sup> 0.01 564,46
67 vi<sup>7</sup> 0.009 564,67
17 I<sup>7</sup> 0.008 564,17
164 I<sup>6</sup><sub>4</sub> 0.007 564,164
D464 IV<sup>6</sup><sub>4</sub> 0.006 564,D464
665 vi<sup>6</sup><sub>5</sub> 0.006 564,665
5/6 V/vi 0.006 564,5/6
5/5 V/V 0.006 564,5/5
57/5 V<sup>7</sup>/V 0.005 564,57/5
b3 &#9837;III 0.005 564,b3
b564 v<sup>6</sup><sub>4</sub> 0.005 564,b564
56/5 V<sup>6</sup>/V 0.005 564,56/5
6 vi 0.342 1,5,6
4 IV 0.245 1,5,4
1 I 0.139 1,5,1
2 ii 0.104 1,5,2
3 iii 0.018 1,5,3
b7 &#9837;VII 0.018 1,5,b7
67 vi<sup>7</sup> 0.015 1,5,67
5/5 V/V 0.012 1,5,5/5
56 V<sup>6</sup> 0.008 1,5,56
27 ii<sup>7</sup> 0.008 1,5,27
5/6 V/vi 0.007 1,5,5/6
47 IV<sup>7</sup> 0.006 1,5,47
16 I<sup>6</sup> 0.005 1,5,16
1 I 0.315 1,4,1
5 V 0.291 1,4,5
6 vi 0.115 1,4,6
2 ii 0.049 1,4,2
16 I<sup>6</sup> 0.038 1,4,16
3 iii 0.026 1,4,3
